WEO,IAMC,Unit_WEO,Unit_IAMC,Conversion,Comment
Energy-Oil-Transport,Final Energy|Transportation|Liquids|Oil,EJ,EJ/yr,1,
Energy-Oil products-Total energy supply,,,,,
Energy-Other products-Total energy supply,,,,,
Energy-Products from NGLs-Total energy supply,,,,,
Energy-Refinery market share-Total energy supply,,,,,
Energy-Refinery products-Total energy supply,,,,,
Energy-Renewables-Electricity generation,,,,,
Energy-Renewables-Power sector inputs,,,,,
Energy-Renewables-Total energy supply,,,,,
Energy-Shale gas-Production,,,,,
Energy-Solar-Total energy supply,Primary Energy|Solar,EJ,EJ/yr,1,
Energy-Solar PV-Electricity generation,Secondary Energy|Electricity|Solar|PV,TWh,EJ/yr,0.0036,
Energy-Solar PV-Power sector inputs,,,,,
Energy-Solid bioenergy incl. TUOB-Total final consumption,,,,,
Energy-Steam coal-Production,,,,,
Energy-Synthetic methane-Total final consumption,,,,,
Energy-Synthetic oil products-Total final consumption,,,,,
Energy-Tight gas-Production,,,,,
Energy-Tight oil-Production,,,,,
Energy-Total-Biofuels production: own use,,,,,
Energy-Total-Buildings,Final Energy|Residential and Commercial,EJ,EJ/yr,1,
Energy-Total-Chemicals,,,,,
Energy-Total-Electricity generation,Secondary Energy|Electricity,TWh,EJ/yr,0.0036,
Energy-Total-Industry,Final Energy|Industry,EJ,EJ/yr,1,
Energy-Total-Iron and steel,Final Energy|Industry|Iron and Steel,EJ,EJ/yr,1,
Energy-Total-Non-ferrous metals: aluminium,,,,,
Energy-Total-Non-metallic minerals: cement,Final Energy|Industry|Non-Metallic Minerals|Cement,EJ,EJ/yr,1,
Energy-Total-Other energy sector,,,,,
Energy-Total-Power sector inputs,,,,,
Energy-Total-Refinery runs,,,,,
Energy-Total-Refining capacity,,,,,
Energy-Total-Residential,Final Energy|Residential,EJ,EJ/yr,1,
Energy-Total-Road,Final Energy|Transportation|Road,EJ,EJ/yr,1,
Energy-Total-Road freight trucks,Final Energy|Transportation|Freight|Road,EJ,EJ/yr,1,
Energy-Total-Road passenger light duty vehicles,Final Energy|Transportation|Passenger|Road|LDV,EJ,EJ/yr,1,
Energy-Total-Services,,,,,
Energy-Total-Aviation: domestic and international bunkers,Final Energy|Transportation|Aviation,EJ,EJ/yr,1,
Energy-Total-Total energy supply,,,,,
Energy-Total-Total final consumption,,,,,
Energy-Total-Navigation: domestic and international bunkers,Final Energy|Transportation|Maritime,EJ,EJ/yr,1,
Energy-Total-Transport,Final Energy|Transportation,EJ,EJ/yr,1,
